sample_id,initial_state,sqrt_s_GeV,decay_channel,polarization,beam1_helicity,beam2_helicity,beam1_pol_fraction,beam2_pol_fraction,spin_mode,isr_enabled,beam_spectrum,model,seed,requested_events,generated_events,cross_section_fb,cross_section_error_fb,relative_integration_error,sindarin_path,run_directory,lhe_path,log_path,sha256,status,return_code,notes
ee_ttbar_emu_LR100_iso_500GeV,ee,500,emu,LR100,-1,+1,1.0,1.0,iso,false,none,SM,111002,10000,10000,1538.0905,0.00901,5.85791278212e-06,sindarin/ee/ee_ttbar_emu_LR100_iso_500GeV.sin,runs/ee/ee_ttbar_emu_LR100_iso_500GeV,lhe/ee/ee_ttbar_emu_LR100_iso_500GeV.lhe,runs/ee/ee_ttbar_emu_LR100_iso_500GeV/whizard.log,1e608c4c520667d859ea8ad6382d3e36180be5555715c6b8aa86daa358e912f3,success,0,cross-section source: 10     249840  1.5380905E+03  9.01E-03    0.00    0.00   65.55    1.60   5
ee_ttbar_emu_LR100_sc_500GeV,ee,500,emu,LR100,-1,+1,1.0,1.0,sc,false,none,SM,111001,10000,10000,1538.0976,0.00906,5.89039343147e-06,sindarin/ee/ee_ttbar_emu_LR100_sc_500GeV.sin,runs/ee/ee_ttbar_emu_LR100_sc_500GeV,lhe/ee/ee_ttbar_emu_LR100_sc_500GeV.lhe,runs/ee/ee_ttbar_emu_LR100_sc_500GeV/whizard.log,e079af5af3e83916390d3e5e4ace881685fe16d5059228e047df2465970f63cb,success,0,cross-section source: 10     249840  1.5380976E+03  9.06E-03    0.00    0.00   63.43    1.56   5
ee_ttbar_emu_RL100_iso_500GeV,ee,500,emu,RL100,+1,-1,1.0,1.0,iso,false,none,SM,112002,10000,10000,655.35638,0.00468,7.1411527267e-06,sindarin/ee/ee_ttbar_emu_RL100_iso_500GeV.sin,runs/ee/ee_ttbar_emu_RL100_iso_500GeV,lhe/ee/ee_ttbar_emu_RL100_iso_500GeV.lhe,runs/ee/ee_ttbar_emu_RL100_iso_500GeV/whizard.log,3257b0a2210423a8fc0a48668cb36d83fae1171e20bc6fa629dfe82e020a4967,success,0,cross-section source: 10     249840  6.5535638E+02  4.68E-03    0.00    0.00   58.22    0.97   5
ee_ttbar_emu_RL100_sc_500GeV,ee,500,emu,RL100,+1,-1,1.0,1.0,sc,false,none,SM,112001,10000,10000,655.36051,0.00467,7.12584894686e-06,sindarin/ee/ee_ttbar_emu_RL100_sc_500GeV.sin,runs/ee/ee_ttbar_emu_RL100_sc_500GeV,lhe/ee/ee_ttbar_emu_RL100_sc_500GeV.lhe,runs/ee/ee_ttbar_emu_RL100_sc_500GeV/whizard.log,c4b85f4a6f32a0ce70dcf6b4d0f4494c0c5ad232b1a02096903ab877d9123a3b,success,0,cross-section source: 10     249840  6.5536051E+02  4.67E-03    0.00    0.00   59.49    0.84   5
ee_ttbar_emu_unpol_iso_500GeV,ee,500,emu,unpol,unpolarized,unpolarized,0,0,iso,false,none,SM,110002,10000,10000,548.36721,0.00343,6.25493271197e-06,sindarin/ee/ee_ttbar_emu_unpol_iso_500GeV.sin,runs/ee/ee_ttbar_emu_unpol_iso_500GeV,lhe/ee/ee_ttbar_emu_unpol_iso_500GeV.lhe,runs/ee/ee_ttbar_emu_unpol_iso_500GeV/whizard.log,5685dd8b7df1fa4a90f42fe8e8767d2f5ff244966a4e0f31006e6884afc146e3,success,0,cross-section source: 10     249840  5.4836721E+02  3.43E-03    0.00    0.00   62.94    0.35   5
ee_ttbar_emu_unpol_sc_500GeV,ee,500,emu,unpol,unpolarized,unpolarized,0,0,sc,false,none,SM,110001,10000,10000,548.36853,0.00343,6.25491765547e-06,sindarin/ee/ee_ttbar_emu_unpol_sc_500GeV.sin,runs/ee/ee_ttbar_emu_unpol_sc_500GeV,lhe/ee/ee_ttbar_emu_unpol_sc_500GeV.lhe,runs/ee/ee_ttbar_emu_unpol_sc_500GeV/whizard.log,1173320abeea4e0f2188e25596c55a395aa05d765dc27be05e1e4cf9c27585f9,success,0,cross-section source: 10     249840  5.4836853E+02  3.43E-03    0.00    0.00   63.61    1.05   5
mumu_ttbar_emu_LR100_iso_500GeV,mumu,500,emu,LR100,-1,+1,1.0,1.0,iso,false,none,SM,211002,10000,10000,1538.1101,0.00901,5.85783813525e-06,sindarin/mumu/mumu_ttbar_emu_LR100_iso_500GeV.sin,runs/mumu/mumu_ttbar_emu_LR100_iso_500GeV,lhe/mumu/mumu_ttbar_emu_LR100_iso_500GeV.lhe,runs/mumu/mumu_ttbar_emu_LR100_iso_500GeV/whizard.log,9fa41b40e9b64caaab250520c7ffb2071e96e1b295d5815258bcb126691489c6,success,0,cross-section source: 10     249840  1.5381101E+03  9.01E-03    0.00    0.00   66.73    0.76   5
mumu_ttbar_emu_LR100_sc_500GeV,mumu,500,emu,LR100,-1,+1,1.0,1.0,sc,false,none,SM,211001,10000,10000,1538.1059,0.00902,5.86435563377e-06,sindarin/mumu/mumu_ttbar_emu_LR100_sc_500GeV.sin,runs/mumu/mumu_ttbar_emu_LR100_sc_500GeV,lhe/mumu/mumu_ttbar_emu_LR100_sc_500GeV.lhe,runs/mumu/mumu_ttbar_emu_LR100_sc_500GeV/whizard.log,ffc91710b5f5054242bbb8e1e24df4ed939a00f5238ea7b5037956bffe80a464,success,0,cross-section source: 10     249840  1.5381059E+03  9.02E-03    0.00    0.00   65.39    0.24   5
mumu_ttbar_emu_RL100_iso_500GeV,mumu,500,emu,RL100,+1,-1,1.0,1.0,iso,false,none,SM,212002,10000,10000,655.36406,0.00467,7.12581034731e-06,sindarin/mumu/mumu_ttbar_emu_RL100_iso_500GeV.sin,runs/mumu/mumu_ttbar_emu_RL100_iso_500GeV,lhe/mumu/mumu_ttbar_emu_RL100_iso_500GeV.lhe,runs/mumu/mumu_ttbar_emu_RL100_iso_500GeV/whizard.log,6e81b1fda8c8f0a5e5bfa1899ba35c9689b72b68650378ccbf17fd86e22b33a7,success,0,cross-section source: 10     249840  6.5536406E+02  4.67E-03    0.00    0.00   58.75    0.54   5
mumu_ttbar_emu_RL100_sc_500GeV,mumu,500,emu,RL100,+1,-1,1.0,1.0,sc,false,none,SM,212001,10000,10000,655.35601,0.0047,7.17167452237e-06,sindarin/mumu/mumu_ttbar_emu_RL100_sc_500GeV.sin,runs/mumu/mumu_ttbar_emu_RL100_sc_500GeV,lhe/mumu/mumu_ttbar_emu_RL100_sc_500GeV.lhe,runs/mumu/mumu_ttbar_emu_RL100_sc_500GeV/whizard.log,ad581df3d985bc7541935d4fbcd0278c5f5a4ae24679d71fe3f01e00bf70f5dc,success,0,cross-section source: 10     249840  6.5535601E+02  4.70E-03    0.00    0.00   57.23    1.10   5
