file	events	bytes	sha256	path
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0001.hepmc3	25000	572034955	283b0c062845115845aa9654f2b5dbf036d3c8f9f7becde0078fb87a520d81a6	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0001.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0002.hepmc3	25000	569711572	9d0fe22f74245917812818144663fa7a37294adaf2a0468f96bb2e121a0f9a40	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0002.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0003.hepmc3	25000	571263233	743fe851d06c2de9310e2be97387f1f79022768c5e0467825daac727420af57c	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0003.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0004.hepmc3	25000	572046882	877ed25f356278206b5293b52784d5f7d096f6f88e30fa8023e320a534c6444d	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0004.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0005.hepmc3	25000	571806664	bfe68e8baf41426a640e7fb21c6b722b23fd8265340addbfeea3b5d0f08f3010	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0005.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0006.hepmc3	25000	571226148	5a5f5b449471545665fa28c40f8c9d07bdd4dbb1adedcadb675e6de2cf9e856f	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0006.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0007.hepmc3	25000	572964385	42191794e36e881f38b3c8cb8753d214ad126fbfa9ca1ffbaa065b8e68c34efd	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0007.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0008.hepmc3	25000	568905748	69927584604597b953e5c49f132ef11fbbf2a711964e7c910069783abd9bd51b	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0008.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0009.hepmc3	25000	570549285	c30fe3023fba79314a0dc32b5d760a14d7e60849e322e53ad284bac0c510cfb3	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0009.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0010.hepmc3	25000	570549969	5b9dc5ca812b9a12144083844ac92a7b3fbb918707e0fd38bb39965590b339cd	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0010.hepmc3
