proc	shard_id	input_lhe	input_sha256	start	stop	pythia_seed
0	P12_1M_0001	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0001/phase11c_S0_P12_1M_0001_seed412100001.lhe	8f4ea4e309d1169eb4697dc658361e417d6ef894ca2332871d278d07d4f47ff7	0	25000	812100001
1	P12_1M_0002	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0002/phase11c_S0_P12_1M_0002_seed412100002.lhe	54108f1a0b566cef98b71262819526489e63ed0ee049817a3823d607d0820632	25000	50000	812100002
2	P12_1M_0003	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0003/phase11c_S0_P12_1M_0003_seed412100003.lhe	33c90e3f7bcafb04adb479dae0e3ae9fc59d8395446c717557501712d616e1f2	50000	75000	812100003
3	P12_1M_0004	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0004/phase11c_S0_P12_1M_0004_seed412100004.lhe	ec52bbd85b457d008e0c4fdc9f16a3fea45d80150bbe75f3bde0def5e4b37921	75000	100000	812100004
4	P12_1M_0005	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0005/phase11c_S0_P12_1M_0005_seed412100005.lhe	adec1d1f274e9261ee0bac7452f61e478307ba8bcb43a732dd7d5fab5689ca85	100000	125000	812100005
5	P12_1M_0006	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0006/phase11c_S0_P12_1M_0006_seed412100006.lhe	eed3f61e7169ef68bbc78cec66bee215207b48fbab79c26475e0dc453adac03d	125000	150000	812100006
6	P12_1M_0007	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0007/phase11c_S0_P12_1M_0007_seed412100007.lhe	11ab1acd8635c85bbb3886b0ef2309e9d60f71dbe6cac39a4092178f7b708f6e	150000	175000	812100007
7	P12_1M_0008	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0008/phase11c_S0_P12_1M_0008_seed412100008.lhe	ef095baa686d265f7ac6338d5f566e71b15e181182cd774326e30e9f31044064	175000	200000	812100008
8	P12_1M_0009	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0009/phase11c_S0_P12_1M_0009_seed412100009.lhe	ab6c803ae00472de45b92ca6170b45f0d7d085beaaa7463e46f918cc790e18d9	200000	225000	812100009
9	P12_1M_0010	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0010/phase11c_S0_P12_1M_0010_seed412100010.lhe	a22a58203b9b15b1aa0176a3a4e50adcfa045224357cc32caf87df4903cfc5da	225000	250000	812100010
10	P12_1M_0011	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0011/phase11c_S0_P12_1M_0011_seed412100011.lhe	0d555b4a3702ab9ecd01528252ea1d9847fd0f504955242ad98321245f0d842d	250000	275000	812100011
11	P12_1M_0012	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0012/phase11c_S0_P12_1M_0012_seed412100012.lhe	0158ad12e7a762ede2ff6aec0de91b58ed57393e140c5dce5856f7d312619b9f	275000	300000	812100012
12	P12_1M_0013	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0013/phase11c_S0_P12_1M_0013_seed412100013.lhe	915f10999dcc67ec31853320df6803d49cc6364fc932aad63f96ff9a515ffdc1	300000	325000	812100013
13	P12_1M_0014	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0014/phase11c_S0_P12_1M_0014_seed412100014.lhe	8c593443e0928d986962883a26a4606f445f3313ae0227594b4da215669035a9	325000	350000	812100014
