contrast,metric,events,mean,standard_error,min,max,fraction_nonzero,mean_abs,max_abs
gamma_main_effect,conversion_vertices,25000,0.00394,0.0002810377470885567,0.0,1.0,0.00784,0.00394,1.0
hadron_qed_main_effect,conversion_vertices,25000,0.00026,0.0002821355702835088,-1.0,0.5,0.00784,0.00394,1.0
gamma_x_hadron_interaction,conversion_vertices,25000,0.00052,0.0005642711405670176,-2.0,1.0,0.00784,0.00788,2.0
gamma_main_effect,conversion_e,25000,0.00286,0.00023848499114963216,0.0,0.5,0.00572,0.00286,0.5
hadron_qed_main_effect,conversion_e,25000,0.00014,0.00023916835923709146,-0.5,0.5,0.00572,0.00286,0.5
gamma_x_hadron_interaction,conversion_e,25000,0.00028,0.0004783367184741829,-1.0,1.0,0.00572,0.00572,1.0
gamma_main_effect,conversion_mu,25000,0.00052,0.0001019293852820832,0.0,0.5,0.00104,0.00052,0.5
hadron_qed_main_effect,conversion_mu,25000,4e-05,0.00010198211614827653,-0.5,0.5,0.00104,0.00052,0.5
gamma_x_hadron_interaction,conversion_mu,25000,8e-05,0.00020396423229655306,-1.0,1.0,0.00104,0.00104,1.0
gamma_main_effect,conversion_tau,25000,4e-05,2.8283705533751203e-05,0.0,0.5,8e-05,4e-05,0.5
hadron_qed_main_effect,conversion_tau,25000,0.0,2.828483694985798e-05,-0.5,0.5,8e-05,4e-05,0.5
gamma_x_hadron_interaction,conversion_tau,25000,0.0,5.656967389971596e-05,-1.0,1.0,8e-05,8e-05,1.0
gamma_main_effect,conversion_quark,25000,0.00052,0.0001019293852820832,0.0,0.5,0.00104,0.00052,0.5
hadron_qed_main_effect,conversion_quark,25000,8e-05,0.00010198117476475867,-0.5,0.5,0.00104,0.00052,0.5
gamma_x_hadron_interaction,conversion_quark,25000,0.00016,0.00020396234952951733,-1.0,1.0,0.00104,0.00104,1.0
gamma_main_effect,stable_particles,25000,-0.143,0.09346229318826882,-59.0,63.5,0.98584,11.66844,63.5
hadron_qed_main_effect,stable_particles,25000,-0.04548,0.09376285043485433,-67.0,62.0,0.98688,11.7456,67.0
gamma_x_hadron_interaction,stable_particles,25000,0.20216,0.18762805074080205,-159.0,127.0,0.98632,23.46112,159.0
gamma_main_effect,stable_photons,25000,-0.10814,0.059298496457189216,-34.5,42.5,0.97992,7.43434,42.5
hadron_qed_main_effect,stable_photons,25000,-0.01478,0.05932771066840626,-40.5,41.0,0.97784,7.42122,41.0
gamma_x_hadron_interaction,stable_photons,25000,0.15876,0.11929847398660143,-91.0,89.0,0.98004,14.97788,91.0
gamma_main_effect,stable_photons_gt_1MeV,25000,-0.10484,0.0591498528415722,-35.0,42.0,0.9782,7.41376,42.0
hadron_qed_main_effect,stable_photons_gt_1MeV,25000,-0.02088,0.05910460468690919,-40.0,41.0,0.97996,7.39728,41.0
gamma_x_hadron_interaction,stable_photons_gt_1MeV,25000,0.14576,0.11896725385245961,-91.0,89.0,0.9786,14.94696,91.0
gamma_main_effect,stable_photons_gt_100MeV,25000,-0.07218,0.05210571371855571,-30.5,36.0,0.97444,6.53962,36.0
hadron_qed_main_effect,stable_photons_gt_100MeV,25000,-0.0139,0.05212579932776303,-36.5,35.0,0.97444,6.52186,36.5
gamma_x_hadron_interaction,stable_photons_gt_100MeV,25000,0.10804,0.10472291329923358,-78.0,76.0,0.97424,13.175,78.0
gamma_main_effect,stable_photons_gt_1GeV,25000,-0.00288,0.024692364340789027,-15.5,17.0,0.95092,3.09648,17.0
hadron_qed_main_effect,stable_photons_gt_1GeV,25000,-0.023,0.024798859637845717,-15.5,15.5,0.9464,3.10352,15.5
gamma_x_hadron_interaction,stable_photons_gt_1GeV,25000,0.05128,0.04959409236415055,-32.0,31.0,0.94784,6.2336,32.0
gamma_main_effect,stable_photon_energy_GeV,25000,-0.11675634353041,0.11022086953243056,-87.70739881038554,75.15005032909478,1.0,13.68422142381774,87.70739881038554
hadron_qed_main_effect,stable_photon_energy_GeV,25000,-0.11277167820400147,0.11089222019720087,-86.23966810524627,83.46598973820039,0.99984,13.685810186226345,86.23966810524627
gamma_x_hadron_interaction,stable_photon_energy_GeV,25000,0.037710171387080285,0.22151462040611966,-192.56574009338559,145.9831149923797,0.99984,27.50074650606072,192.56574009338559
gamma_main_effect,stable_electrons,25000,0.00292,0.0037360162281085273,-2.5,3.0,0.62936,0.4266,3.0
hadron_qed_main_effect,stable_electrons,25000,0.00144,0.003706597713626935,-3.0,2.5,0.62712,0.42304,3.0
gamma_x_hadron_interaction,stable_electrons,25000,-0.00968,0.007521390480262959,-6.0,6.0,0.63304,0.86136,6.0
gamma_main_effect,stable_positrons,25000,0.00604,0.0037430336824621174,-2.5,3.0,0.64124,0.43188,3.0
hadron_qed_main_effect,stable_positrons,25000,-0.00032,0.003728880808779417,-2.5,2.5,0.63904,0.4296,2.5
gamma_x_hadron_interaction,stable_positrons,25000,-0.01328,0.007446983548159526,-6.0,6.0,0.63592,0.8544,6.0
gamma_main_effect,stable_mu_minus,25000,-0.00108,0.0028564803033084133,-2.0,2.0,0.51964,0.30644,2.0
hadron_qed_main_effect,stable_mu_minus,25000,-0.00316,0.002829685646999403,-2.0,2.0,0.51948,0.30456,2.0
gamma_x_hadron_interaction,stable_mu_minus,25000,0.0036,0.005688793905129962,-4.0,4.0,0.51904,0.61064,4.0
gamma_main_effect,stable_mu_plus,25000,0.00316,0.002843786922566886,-2.0,2.0,0.51484,0.30372,2.0
hadron_qed_main_effect,stable_mu_plus,25000,-0.00088,0.002850876027428227,-2.0,2.0,0.51624,0.30504,2.0
gamma_x_hadron_interaction,stable_mu_plus,25000,-0.00376,0.00569047711156018,-4.0,4.0,0.51672,0.60968,4.0
gamma_main_effect,stable_photons_with_tau_ancestor,25000,0.0084,0.003452427315697581,-5.0,4.5,0.13888,0.18596,5.0
hadron_qed_main_effect,stable_photons_with_tau_ancestor,25000,0.00136,0.0034855719737913004,-4.5,5.0,0.13888,0.18712,5.0
gamma_x_hadron_interaction,stable_photons_with_tau_ancestor,25000,0.00152,0.006927873223514993,-8.0,10.0,0.1388,0.37248,10.0
gamma_main_effect,stable_photons_with_emu_ancestor,25000,-0.10814,0.059298496457189216,-34.5,42.5,0.97992,7.43434,42.5
hadron_qed_main_effect,stable_photons_with_emu_ancestor,25000,-0.01478,0.05932771066840626,-40.5,41.0,0.97784,7.42122,41.0
gamma_x_hadron_interaction,stable_photons_with_emu_ancestor,25000,0.15876,0.11929847398660143,-91.0,89.0,0.98004,14.97788,91.0
gamma_main_effect,stable_photons_with_hadron_ancestor,25000,-0.103,0.05890261132330916,-36.5,43.5,0.97816,7.3832,43.5
hadron_qed_main_effect,stable_photons_with_hadron_ancestor,25000,-0.01576,0.0589009273073481,-38.0,40.5,0.97832,7.368,40.5
gamma_x_hadron_interaction,stable_photons_with_hadron_ancestor,25000,0.15552,0.11848755087844684,-89.0,90.0,0.97928,14.88064,90.0
gamma_main_effect,stable_photons_with_W_ancestor,25000,-0.00568,0.0074372119768687205,-5.0,7.0,0.8212,0.90948,7.0
hadron_qed_main_effect,stable_photons_with_W_ancestor,25000,0.00116,0.0074259916502834545,-5.5,4.5,0.82248,0.9102,5.5
gamma_x_hadron_interaction,stable_photons_with_W_ancestor,25000,0.00624,0.014964631639435835,-10.0,12.0,0.82132,1.8292,12.0
gamma_main_effect,stable_photons_with_top_ancestor,25000,-0.1133,0.0593287697539467,-34.5,42.5,0.9772,7.43078,42.5
hadron_qed_main_effect,stable_photons_with_top_ancestor,25000,-0.0259,0.05932185373783624,-40.5,41.0,0.97548,7.41222,41.0
gamma_x_hadron_interaction,stable_photons_with_top_ancestor,25000,0.18284,0.11931815056485817,-91.0,89.0,0.97752,14.95956,91.0
