comparison,metric,events,mean,standard_error,min,max,fraction_nonzero,mean_abs,max_abs
G1_H0-G0_H0,conversion_vertices,25000,0.00368,0.0003871231051899935,0.0,2.0,0.00364,0.00368,2.0
G1_H0-G0_H0,conversion_e,25000,0.00272,0.000329406138886593,0.0,1.0,0.00272,0.00272,1.0
G1_H0-G0_H0,conversion_mu,25000,0.00048,0.00013853357593762776,0.0,1.0,0.00048,0.00048,1.0
G1_H0-G0_H0,conversion_tau,25000,4e-05,3.9999999999999996e-05,0.0,1.0,4e-05,4e-05,1.0
G1_H0-G0_H0,conversion_quark,25000,0.00044,0.00013263845490048783,0.0,1.0,0.00044,0.00044,1.0
G1_H0-G0_H0,stable_particles,25000,-0.24408,0.13285268755884339,-89.0,107.0,0.97904,16.41344,107.0
G1_H0-G0_H0,stable_photons,25000,-0.18752,0.08444083526452356,-56.0,78.0,0.967,10.49544,78.0
G1_H0-G0_H0,stable_photons_gt_1MeV,25000,-0.17772,0.08419881829161302,-56.0,78.0,0.96816,10.46596,78.0
G1_H0-G0_H0,stable_photons_gt_100MeV,25000,-0.1262,0.07415993885017172,-47.0,65.0,0.96552,9.24036,65.0
G1_H0-G0_H0,stable_photons_gt_1GeV,25000,-0.02852,0.035209854497543,-23.0,28.0,0.92864,4.4154,28.0
G1_H0-G0_H0,stable_photon_energy_GeV,25000,-0.13561142922395006,0.15685040602232314,-145.53344817717706,150.63044611660797,1.0,19.267270971217922,150.63044611660797
G1_H0-G0_H0,stable_electrons,25000,0.00776,0.005300746665575378,-4.0,4.0,0.46808,0.54192,4.0
G1_H0-G0_H0,stable_positrons,25000,0.01268,0.005295988161205059,-4.0,4.0,0.46952,0.54252,4.0
G1_H0-G0_H0,stable_mu_minus,25000,-0.00288,0.004042613255417505,-2.0,2.0,0.34556,0.36656,2.0
G1_H0-G0_H0,stable_mu_plus,25000,0.00504,0.004016320351910037,-3.0,3.0,0.3418,0.36224,3.0
G1_H0-G0_H0,stable_photons_with_tau_ancestor,25000,0.00764,0.004869518837066777,-8.0,8.0,0.07264,0.19084,8.0
G1_H0-G0_H0,stable_photons_with_emu_ancestor,25000,-0.18752,0.08444083526452356,-56.0,78.0,0.967,10.49544,78.0
G1_H0-G0_H0,stable_photons_with_hadron_ancestor,25000,-0.18076,0.08390898081599169,-57.0,78.0,0.9692,10.4262,78.0
G1_H0-G0_H0,stable_photons_with_W_ancestor,25000,-0.0088,0.010560670599471439,-8.0,11.0,0.73796,1.25688,11.0
G1_H0-G0_H0,stable_photons_with_top_ancestor,25000,-0.20472,0.08453614518806574,-56.0,78.0,0.96476,10.49336,78.0
G0_H1-G0_H0,conversion_vertices,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0_H1-G0_H0,conversion_e,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0_H1-G0_H0,conversion_mu,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0_H1-G0_H0,conversion_tau,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0_H1-G0_H0,conversion_quark,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0_H1-G0_H0,stable_particles,25000,-0.14656,0.1329727975085547,-97.0,96.0,0.97756,16.4288,97.0
G0_H1-G0_H0,stable_photons,25000,-0.09416,0.0844231487596729,-57.0,65.0,0.96848,10.49096,65.0
G0_H1-G0_H0,stable_photons_gt_1MeV,25000,-0.09376,0.08414335604592121,-57.0,65.0,0.96844,10.46,65.0
G0_H1-G0_H0,stable_photons_gt_100MeV,25000,-0.06792,0.07408252563032763,-49.0,55.0,0.96312,9.2348,55.0
G0_H1-G0_H0,stable_photons_gt_1GeV,25000,-0.04864,0.03513192758886771,-22.0,24.0,0.92532,4.39304,24.0
G0_H1-G0_H0,stable_photon_energy_GeV,25000,-0.13162676389754158,0.1573682549286729,-156.26470946964355,137.60885796367634,0.99896,19.31634097050225,156.26470946964355
G0_H1-G0_H0,stable_electrons,25000,0.00628,0.005240564950922772,-4.0,4.0,0.46132,0.5326,4.0
G0_H1-G0_H0,stable_positrons,25000,0.00632,0.005238883482194044,-4.0,4.0,0.46168,0.5328,4.0
G0_H1-G0_H0,stable_mu_minus,25000,-0.00496,0.004009945027349488,-2.0,3.0,0.34208,0.362,3.0
G0_H1-G0_H0,stable_mu_plus,25000,0.001,0.004017835949890041,-2.0,3.0,0.34064,0.36156,3.0
G0_H1-G0_H0,stable_photons_with_tau_ancestor,25000,0.0006,0.004796926726586598,-8.0,8.0,0.0708,0.18508,8.0
G0_H1-G0_H0,stable_photons_with_emu_ancestor,25000,-0.09416,0.0844231487596729,-57.0,65.0,0.96848,10.49096,65.0
G0_H1-G0_H0,stable_photons_with_hadron_ancestor,25000,-0.09352,0.08384731942825012,-57.0,66.0,0.96832,10.41456,66.0
G0_H1-G0_H0,stable_photons_with_W_ancestor,25000,-0.00196,0.010460871069320237,-8.0,8.0,0.7392,1.24452,8.0
G0_H1-G0_H0,stable_photons_with_top_ancestor,25000,-0.11732,0.08432042361170584,-60.0,65.0,0.96656,10.46948,65.0
G1_H1-G0_H0,conversion_vertices,25000,0.0042,0.00040902456166308856,0.0,1.0,0.0042,0.0042,1.0
G1_H1-G0_H0,conversion_e,25000,0.003,0.0003458970739850681,0.0,1.0,0.003,0.003,1.0
G1_H1-G0_H0,conversion_mu,25000,0.00056,0.0001496273756171021,0.0,1.0,0.00056,0.00056,1.0
G1_H1-G0_H0,conversion_tau,25000,4e-05,4e-05,0.0,1.0,4e-05,4e-05,1.0
G1_H1-G0_H0,conversion_quark,25000,0.0006,0.00015487594862462827,0.0,1.0,0.0006,0.0006,1.0
G1_H1-G0_H0,stable_particles,25000,-0.18848,0.13269299344277508,-96.0,96.0,0.9804,16.4184,96.0
G1_H1-G0_H0,stable_photons,25000,-0.12292,0.08415751259644653,-53.0,67.0,0.9694,10.46508,67.0
G1_H1-G0_H0,stable_photons_gt_1MeV,25000,-0.12572,0.08393222005860776,-51.0,68.0,0.96876,10.4334,68.0
G1_H1-G0_H0,stable_photons_gt_100MeV,25000,-0.08608,0.07395544054112195,-47.0,59.0,0.96628,9.2152,59.0
G1_H1-G0_H0,stable_photons_gt_1GeV,25000,-0.02588,0.0349711385037023,-24.0,24.0,0.92848,4.38828,24.0
G1_H1-G0_H0,stable_photon_energy_GeV,25000,-0.22952802173441145,0.15597449209486022,-161.74807491802608,111.09416027713331,1.0,19.20027882190926,161.74807491802608
G1_H1-G0_H0,stable_electrons,25000,0.00436,0.005264707807840058,-4.0,4.0,0.4638,0.53604,4.0
G1_H1-G0_H0,stable_positrons,25000,0.00572,0.005254921106147386,-4.0,4.0,0.46568,0.53652,4.0
G1_H1-G0_H0,stable_mu_minus,25000,-0.00424,0.004027496707036395,-2.0,3.0,0.34628,0.366,3.0
G1_H1-G0_H0,stable_mu_plus,25000,0.00228,0.004016620145532278,-3.0,2.0,0.34384,0.36364,3.0
G1_H1-G0_H0,stable_photons_with_tau_ancestor,25000,0.00976,0.004887243098292131,-8.0,8.0,0.07444,0.19368,8.0
G1_H1-G0_H0,stable_photons_with_emu_ancestor,25000,-0.12292,0.08415751259644653,-53.0,67.0,0.9694,10.46508,67.0
G1_H1-G0_H0,stable_photons_with_hadron_ancestor,25000,-0.11876,0.08362827506311248,-52.0,67.0,0.96856,10.39892,67.0
G1_H1-G0_H0,stable_photons_with_W_ancestor,25000,-0.00452,0.010484063115375463,-8.0,9.0,0.73476,1.2446,9.0
G1_H1-G0_H0,stable_photons_with_top_ancestor,25000,-0.1392,0.08410673630645576,-53.0,67.0,0.9668,10.44232,67.0
