variant,metric,total,mean_per_event,std_per_event,min,max,events_nonzero,fraction_events_nonzero
G0_H0,conversion_vertices,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H0,conversion_e,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H0,conversion_mu,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H0,conversion_tau,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H0,conversion_quark,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H0,stable_particles,1503910.0,60.1564,14.99842848948803,22.0,137.0,25000,1.0
G0_H0,stable_photons,718444.0,28.73776,9.498978861244836,5.0,80.0,25000,1.0
G0_H0,stable_photons_gt_1MeV,675515.0,27.0206,9.504623567231171,2.0,78.0,25000,1.0
G0_H0,stable_photons_gt_100MeV,590939.0,23.63756,8.358250514340092,1.0,68.0,25000,1.0
G0_H0,stable_photons_gt_1GeV,247837.0,9.91348,4.028667707336986,0.0,34.0,24986,0.99944
G0_H0,stable_photon_energy_GeV,1009794.0494157645,40.39176197663058,18.34950321236516,2.1518939880853707,180.43493611627494,25000,1.0
G0_H0,stable_electrons,9321.0,0.37284,0.5859044851873302,0.0,4.0,8061,0.32244
G0_H0,stable_positrons,34252.0,1.37008,0.5848200357195085,1.0,5.0,25000,1.0
G0_H0,stable_mu_minus,30774.0,1.23096,0.4518690582744441,1.0,3.0,25000,1.0
G0_H0,stable_mu_plus,5688.0,0.22752,0.44855623695129726,0.0,3.0,5371,0.21484
G0_H0,stable_photons_with_tau_ancestor,2368.0,0.09472,0.5293007915855775,0.0,8.0,918,0.03672
G0_H0,stable_photons_with_emu_ancestor,718444.0,28.73776,9.498978861244836,5.0,80.0,25000,1.0
G0_H0,stable_photons_with_hadron_ancestor,631827.0,25.27308,9.442389192473824,2.0,76.0,25000,1.0
G0_H0,stable_photons_with_W_ancestor,34731.0,1.38924,1.1938296493090055,0.0,8.0,18558,0.74232
G0_H0,stable_photons_with_top_ancestor,662561.0,26.50244,9.616428290905256,0.0,78.0,24940,0.9976
G1_H0,conversion_vertices,92.0,0.00368,0.06120953736386651,0.0,2.0,91,0.00364
G1_H0,conversion_e,68.0,0.00272,0.05208368370616978,0.0,1.0,68,0.00272
G1_H0,conversion_mu,12.0,0.00048,0.021904081618540003,0.0,1.0,12,0.00048
G1_H0,conversion_tau,1.0,4e-05,0.006324555320336759,0.0,1.0,1,4e-05
G1_H0,conversion_quark,11.0,0.00044,0.020971981140553188,0.0,1.0,11,0.00044
G1_H0,stable_particles,1497808.0,59.91232,15.050634972722024,21.0,154.0,25000,1.0
G1_H0,stable_photons,713756.0,28.55024,9.478765205552508,3.0,94.0,25000,1.0
G1_H0,stable_photons_gt_1MeV,671072.0,26.84288,9.478558277938745,1.0,94.0,25000,1.0
G1_H0,stable_photons_gt_100MeV,587784.0,23.51136,8.346238514342465,0.0,79.0,24999,0.99996
G1_H0,stable_photons_gt_1GeV,247124.0,9.88496,4.0249489197941735,0.0,37.0,24980,0.9992
G1_H0,stable_photon_energy_GeV,1006403.7636851658,40.256150547406634,18.283541631387134,0.0755062298551199,165.34239837167405,25000,1.0
G1_H0,stable_electrons,9515.0,0.3806,0.5925518413669713,0.0,4.0,8194,0.32776
G1_H0,stable_positrons,34569.0,1.38276,0.5953393650334088,1.0,5.0,25000,1.0
G1_H0,stable_mu_minus,30702.0,1.22808,0.4488959499738844,1.0,4.0,25000,1.0
G1_H0,stable_mu_plus,5814.0,0.23256,0.4529945414264751,0.0,3.0,5482,0.21928
G1_H0,stable_photons_with_tau_ancestor,2559.0,0.10236,0.560120504712327,0.0,8.0,954,0.03816
G1_H0,stable_photons_with_emu_ancestor,713756.0,28.55024,9.478765205552508,3.0,94.0,25000,1.0
G1_H0,stable_photons_with_hadron_ancestor,627308.0,25.09232,9.412696795926175,0.0,92.0,24999,0.99996
G1_H0,stable_photons_with_W_ancestor,34511.0,1.38044,1.203429821856449,0.0,11.0,18520,0.7408
G1_H0,stable_photons_with_top_ancestor,657443.0,26.29772,9.614001246224097,0.0,92.0,24940,0.9976
G0_H1,conversion_vertices,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H1,conversion_e,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H1,conversion_mu,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H1,conversion_tau,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H1,conversion_quark,0.0,0.0,0.0,0.0,0.0,0,0.0
G0_H1,stable_particles,1500246.0,60.00984,14.92833337582917,20.0,143.0,25000,1.0
G0_H1,stable_photons,716090.0,28.6436,9.413579747330257,4.0,81.0,25000,1.0
G0_H1,stable_photons_gt_1MeV,673171.0,26.92684,9.421991221134887,3.0,79.0,25000,1.0
G0_H1,stable_photons_gt_100MeV,589241.0,23.56964,8.314372821940143,0.0,71.0,24999,0.99996
G0_H1,stable_photons_gt_1GeV,246621.0,9.86484,4.028451428432078,0.0,31.0,24973,0.99892
G0_H1,stable_photon_energy_GeV,1006503.3803183258,40.26013521273303,18.35244923266983,0.1399502474631035,155.7414379605994,25000,1.0
G0_H1,stable_electrons,9478.0,0.37912,0.5921165845355011,0.0,5.0,8163,0.32652
G0_H1,stable_positrons,34410.0,1.3764,0.5882319956235184,1.0,5.0,25000,1.0
G0_H1,stable_mu_minus,30650.0,1.226,0.44896777488202355,1.0,4.0,25000,1.0
G0_H1,stable_mu_plus,5713.0,0.22852,0.45164894450309834,0.0,3.0,5369,0.21476
G0_H1,stable_photons_with_tau_ancestor,2383.0,0.09532,0.5398571620625378,0.0,8.0,901,0.03604
G0_H1,stable_photons_with_emu_ancestor,716090.0,28.6436,9.413579747330257,4.0,81.0,25000,1.0
G0_H1,stable_photons_with_hadron_ancestor,629489.0,25.17956,9.346516597176729,1.0,78.0,25000,1.0
G0_H1,stable_photons_with_W_ancestor,34682.0,1.38728,1.1960231688628855,0.0,9.0,18591,0.74364
G0_H1,stable_photons_with_top_ancestor,659628.0,26.38512,9.523047312851329,0.0,79.0,24940,0.9976
G1_H1,conversion_vertices,105.0,0.0042,0.06467246169036744,0.0,1.0,105,0.0042
G1_H1,conversion_e,75.0,0.003,0.054691129489029496,0.0,1.0,75,0.003
G1_H1,conversion_mu,14.0,0.00056,0.023658165363179242,0.0,1.0,14,0.00056
G1_H1,conversion_tau,1.0,4e-05,0.00632455532033676,0.0,1.0,1,4e-05
G1_H1,conversion_quark,15.0,0.0006,0.024488037621652383,0.0,1.0,15,0.0006
G1_H1,stable_particles,1499198.0,59.96792,14.806978784965876,20.0,143.0,25000,1.0
G1_H1,stable_photons,715371.0,28.61484,9.381557030626245,3.0,78.0,25000,1.0
G1_H1,stable_photons_gt_1MeV,672372.0,26.89488,9.380792597450935,3.0,77.0,25000,1.0
G1_H1,stable_photons_gt_100MeV,588787.0,23.55148,8.266665792212288,0.0,68.0,24999,0.99996
G1_H1,stable_photons_gt_1GeV,247190.0,9.8876,4.021722666983441,0.0,28.0,24979,0.99916
G1_H1,stable_photon_energy_GeV,1004055.8488724042,40.162233954896166,18.0841010591533,0.027107694042046097,134.16052178338293,25000,1.0
G1_H1,stable_electrons,9430.0,0.3772,0.5892147715068577,0.0,4.0,8126,0.32504
G1_H1,stable_positrons,34395.0,1.3758,0.589192876679477,1.0,5.0,25000,1.0
G1_H1,stable_mu_minus,30668.0,1.22672,0.44699668213685173,1.0,4.0,25000,1.0
G1_H1,stable_mu_plus,5745.0,0.2298,0.44975554604923784,0.0,2.0,5429,0.21716
G1_H1,stable_photons_with_tau_ancestor,2612.0,0.10448,0.5636103581956552,0.0,8.0,989,0.03956
G1_H1,stable_photons_with_emu_ancestor,715371.0,28.61484,9.381557030626245,3.0,78.0,25000,1.0
G1_H1,stable_photons_with_hadron_ancestor,628858.0,25.15432,9.323624967623992,0.0,75.0,24999,0.99996
G1_H1,stable_photons_with_W_ancestor,34618.0,1.38472,1.2044453284155183,0.0,10.0,18569,0.74276
G1_H1,stable_photons_with_top_ancestor,659081.0,26.36324,9.503184157047832,0.0,76.0,24939,0.99756
