contrast,representation,observable,effect,standard_error,z,effective_events
gamma_main_effect,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,bare,lepton_plus_pt_GeV,-0.010900366993405682,0.03203527835746347,-0.34026134787326273,25000.000000000062
hadron_qed_main_effect,bare,lepton_plus_pt_GeV,0.016455492555159337,0.03190674155068251,0.5157371688682306,25000.000000000062
gamma_x_hadron_interaction,bare,lepton_plus_pt_GeV,0.09834190049338176,0.06422639275077495,1.5311758341308244,25000.000000000062
gamma_main_effect,bare,lepton_minus_pt_GeV,0.010579106164572735,0.024400165607623876,0.4335669820727477,25000.000000000062
hadron_qed_main_effect,bare,lepton_minus_pt_GeV,0.03482094465871425,0.0247336349644482,1.4078377362957535,25000.000000000062
gamma_x_hadron_interaction,bare,lepton_minus_pt_GeV,0.00814806181674106,0.049198210665741746,0.1656170357922145,25000.000000000062
gamma_main_effect,bare,delta_phi_ll_lab,0.0002606487718649855,0.0006225180409299461,0.4187007519904425,25000.000000000062
hadron_qed_main_effect,bare,delta_phi_ll_lab,0.000240115717404147,0.000631863859827792,0.3800117915741978,25000.000000000062
gamma_x_hadron_interaction,bare,delta_phi_ll_lab,-0.0013852093945543838,0.0012523547387531403,-1.1060838847733472,25000.000000000062
gamma_main_effect,bare,delta_phi_ll_tt,0.000307315132852299,0.0006224489694664226,0.4937194017940724,25000.000000000062
hadron_qed_main_effect,bare,delta_phi_ll_tt,0.00021750883046357794,0.0006321245452346222,0.3440917333511332,25000.000000000062
gamma_x_hadron_interaction,bare,delta_phi_ll_tt,-0.0013418070591086847,0.0012523269051947985,-1.0714511151542876,25000.000000000062
gamma_main_effect,bare,cos_opening_ll_tt,-0.0002795473236290732,0.0003292161763328461,-0.8491299751517786,25000.000000000062
hadron_qed_main_effect,bare,cos_opening_ll_tt,-0.00026610432464738024,0.00032998833959256216,-0.8064052353363159,25000.000000000062
gamma_x_hadron_interaction,bare,cos_opening_ll_tt,-8.54448619116394e-05,0.0006614546422819706,-0.12917720498092025,25000.000000000062
gamma_main_effect,bare,opening_ll_tt,0.0003251128199916107,0.0003974817117554082,0.8179315182975514,25000.000000000062
hadron_qed_main_effect,bare,opening_ll_tt,0.0002538593244311184,0.00039835088624052146,0.6372756612315905,25000.000000000062
gamma_x_hadron_interaction,bare,opening_ll_tt,-4.922373011165894e-05,0.0007971635378425624,-0.06174859708821817,25000.000000000062
gamma_main_effect,bare,cp_triple_product,-0.00016678111597019738,0.000266075193509381,-0.6268194857643398,25000.000000000062
hadron_qed_main_effect,bare,cp_triple_product,0.000147686467847521,0.0002663256578085957,0.5545333824113223,25000.000000000062
gamma_x_hadron_interaction,bare,cp_triple_product,-4.00442898404881e-05,0.0005291167728321837,-0.07568138433061669,25000.000000000062
gamma_main_effect,dressed_all,lepton_plus_pt_GeV,0.002612617906050464,0.019488596371084247,0.13405880322540187,25000.000000000062
hadron_qed_main_effect,dressed_all,lepton_plus_pt_GeV,0.012912886349436638,0.01945296195198544,0.6638005246352061,25000.000000000062
gamma_x_hadron_interaction,dressed_all,lepton_plus_pt_GeV,0.053356092202882476,0.03857978548900621,1.3830064508286848,25000.000000000062
gamma_main_effect,dressed_all,lepton_minus_pt_GeV,0.023825908643273597,0.01895147906832908,1.2572057598971502,25000.000000000062
hadron_qed_main_effect,dressed_all,lepton_minus_pt_GeV,0.02039451863592325,0.019154770642785254,1.0647226749021375,25000.000000000062
gamma_x_hadron_interaction,dressed_all,lepton_minus_pt_GeV,-0.00567504681904925,0.03841714561883963,-0.14772171975906057,25000.000000000062
gamma_main_effect,dressed_all,delta_phi_ll_lab,0.0002614880941473023,0.000622304877674524,0.42019290468114406,25000.000000000062
hadron_qed_main_effect,dressed_all,delta_phi_ll_lab,0.00024067105636392755,0.0006318770654413868,0.38088272153984726,25000.000000000062
gamma_x_hadron_interaction,dressed_all,delta_phi_ll_lab,-0.0014355757046661743,0.0012518865079920243,-1.14672991161857,25000.000000000062
gamma_main_effect,dressed_all,delta_phi_ll_tt,0.00030778693021221433,0.0006222353718049506,0.4946471129074529,25000.000000000062
hadron_qed_main_effect,dressed_all,delta_phi_ll_tt,0.00021759366566827845,0.0006321371245497044,0.3442190898426964,25000.000000000062
gamma_x_hadron_interaction,dressed_all,delta_phi_ll_tt,-0.0013928439689180746,0.0012518600756512715,-1.1126195299370476,25000.000000000062
gamma_main_effect,dressed_all,cos_opening_ll_tt,-0.00026598109837190284,0.0003289836557778626,-0.8084933512669683,25000.000000000062
