comparison,representation,observable,paired_mean_delta,paired_standard_error,paired_z,effective_events
G1_H0-G0_H0,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,lepton_plus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,lepton_minus_pt_GeV,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,delta_phi_ll_lab,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,delta_phi_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,cos_opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,opening_ll_tt,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,cp_triple_product,0.0,0.0,0.0,25000.000000000062
