variant,representation,coefficient,value,standard_error,effective_events
G0_H0,hard,B1k,-0.21666021025987814,0.010868193506905604,25000.000000000062
G0_H0,hard,B1r,0.7662319450556876,0.009836679631310468,25000.000000000062
G0_H0,hard,B1n,-0.017694395366649872,0.010943529777845188,25000.000000000062
G0_H0,hard,B2k,0.20206605275349598,0.010922981136388192,25000.000000000062
G0_H0,hard,B2r,-0.7590968141320503,0.009782745143185168,25000.000000000062
G0_H0,hard,B2n,-0.004536837061679541,0.010968893469064005,25000.000000000062
G0_H0,hard,Ckk,-0.39014234822021265,0.018858252538665164,25000.000000000062
G0_H0,hard,Crr,-0.6385094058171521,0.018455270878909538,25000.000000000062
G0_H0,hard,Cnn,-0.031506079850230254,0.019008350622291878,25000.000000000062
G0_H0,hard,Ckr,0.16390390369761937,0.018868798001372887,25000.000000000062
G0_H0,hard,Crk,0.10881126699597062,0.0190908818757087,25000.000000000062
G0_H0,hard,Ckn,0.010563939993300487,0.01900329815217931,25000.000000000062
G0_H0,hard,Cnk,-0.008760190809066482,0.019022157049524254,25000.000000000062
G0_H0,hard,Crn,0.007512310459659495,0.0189833575289557,25000.000000000062
G0_H0,hard,Cnr,0.012841180995241985,0.018834837098116113,25000.000000000062
G1_H0,hard,B1k,-0.21666021025987814,0.010868193506905604,25000.000000000062
G1_H0,hard,B1r,0.7662319450556876,0.009836679631310468,25000.000000000062
G1_H0,hard,B1n,-0.017694395366649872,0.010943529777845188,25000.000000000062
G1_H0,hard,B2k,0.20206605275349598,0.010922981136388192,25000.000000000062
G1_H0,hard,B2r,-0.7590968141320503,0.009782745143185168,25000.000000000062
G1_H0,hard,B2n,-0.004536837061679541,0.010968893469064005,25000.000000000062
G1_H0,hard,Ckk,-0.39014234822021265,0.018858252538665164,25000.000000000062
G1_H0,hard,Crr,-0.6385094058171521,0.018455270878909538,25000.000000000062
G1_H0,hard,Cnn,-0.031506079850230254,0.019008350622291878,25000.000000000062
G1_H0,hard,Ckr,0.16390390369761937,0.018868798001372887,25000.000000000062
G1_H0,hard,Crk,0.10881126699597062,0.0190908818757087,25000.000000000062
G1_H0,hard,Ckn,0.010563939993300487,0.01900329815217931,25000.000000000062
G1_H0,hard,Cnk,-0.008760190809066482,0.019022157049524254,25000.000000000062
G1_H0,hard,Crn,0.007512310459659495,0.0189833575289557,25000.000000000062
G1_H0,hard,Cnr,0.012841180995241985,0.018834837098116113,25000.000000000062
G0_H1,hard,B1k,-0.21666021025987814,0.010868193506905604,25000.000000000062
G0_H1,hard,B1r,0.7662319450556876,0.009836679631310468,25000.000000000062
G0_H1,hard,B1n,-0.017694395366649872,0.010943529777845188,25000.000000000062
G0_H1,hard,B2k,0.20206605275349598,0.010922981136388192,25000.000000000062
G0_H1,hard,B2r,-0.7590968141320503,0.009782745143185168,25000.000000000062
G0_H1,hard,B2n,-0.004536837061679541,0.010968893469064005,25000.000000000062
G0_H1,hard,Ckk,-0.39014234822021265,0.018858252538665164,25000.000000000062
G0_H1,hard,Crr,-0.6385094058171521,0.018455270878909538,25000.000000000062
G0_H1,hard,Cnn,-0.031506079850230254,0.019008350622291878,25000.000000000062
G0_H1,hard,Ckr,0.16390390369761937,0.018868798001372887,25000.000000000062
G0_H1,hard,Crk,0.10881126699597062,0.0190908818757087,25000.000000000062
G0_H1,hard,Ckn,0.010563939993300487,0.01900329815217931,25000.000000000062
G0_H1,hard,Cnk,-0.008760190809066482,0.019022157049524254,25000.000000000062
G0_H1,hard,Crn,0.007512310459659495,0.0189833575289557,25000.000000000062
G0_H1,hard,Cnr,0.012841180995241985,0.018834837098116113,25000.000000000062
G1_H1,hard,B1k,-0.21666021025987814,0.010868193506905604,25000.000000000062
G1_H1,hard,B1r,0.7662319450556876,0.009836679631310468,25000.000000000062
G1_H1,hard,B1n,-0.017694395366649872,0.010943529777845188,25000.000000000062
G1_H1,hard,B2k,0.20206605275349598,0.010922981136388192,25000.000000000062
G1_H1,hard,B2r,-0.7590968141320503,0.009782745143185168,25000.000000000062
G1_H1,hard,B2n,-0.004536837061679541,0.010968893469064005,25000.000000000062
G1_H1,hard,Ckk,-0.39014234822021265,0.018858252538665164,25000.000000000062
G1_H1,hard,Crr,-0.6385094058171521,0.018455270878909538,25000.000000000062
G1_H1,hard,Cnn,-0.031506079850230254,0.019008350622291878,25000.000000000062
G1_H1,hard,Ckr,0.16390390369761937,0.018868798001372887,25000.000000000062
G1_H1,hard,Crk,0.10881126699597062,0.0190908818757087,25000.000000000062
G1_H1,hard,Ckn,0.010563939993300487,0.01900329815217931,25000.000000000062
G1_H1,hard,Cnk,-0.008760190809066482,0.019022157049524254,25000.000000000062
G1_H1,hard,Crn,0.007512310459659495,0.0189833575289557,25000.000000000062
G1_H1,hard,Cnr,0.012841180995241985,0.018834837098116113,25000.000000000062
G0_H0,bare,B1k,-0.21798176339220898,0.010870049166839977,25000.000000000062
G0_H0,bare,B1r,0.7653657277539663,0.009834382937840025,25000.000000000062
G0_H0,bare,B1n,-0.017616619841650017,0.010945130717934017,25000.000000000062
G0_H0,bare,B2k,0.20431995806191777,0.010924311472459342,25000.000000000062
G0_H0,bare,B2r,-0.7573678757113986,0.00978584068962209,25000.000000000062
G0_H0,bare,B2n,-0.004974629644616137,0.010967910335528611,25000.000000000062
G0_H0,bare,Ckk,-0.3902834835154228,0.018867040139140638,25000.000000000062
G0_H0,bare,Crr,-0.6367586508321882,0.01844575479462967,25000.000000000062
G0_H0,bare,Cnn,-0.03277776424668602,0.019006939193062247,25000.000000000062
G0_H0,bare,Ckr,0.161295905181304,0.018865909144363195,25000.000000000062
G0_H0,bare,Crk,0.11180079926211399,0.019092163090816523,25000.000000000062
G0_H0,bare,Ckn,0.01174575507028113,0.019013183420103802,25000.000000000062
G0_H0,bare,Cnk,-0.00687042972267935,0.01902692177252073,25000.000000000062
G0_H0,bare,Crn,0.007947164930706173,0.018969673693333237,25000.000000000062
G0_H0,bare,Cnr,0.013700425619479956,0.01883971452798649,25000.000000000062
G1_H0,bare,B1k,-0.21839808150013867,0.010870935554916722,25000.000000000062
G1_H0,bare,B1r,0.7645501525619772,0.009839780933997885,25000.000000000062
G1_H0,bare,B1n,-0.018110648744286237,0.010941314072438205,25000.000000000062
G1_H0,bare,B2k,0.2054128503768825,0.010917339336278462,25000.000000000062
G1_H0,bare,B2r,-0.7585894502693402,0.009788764765935156,25000.000000000062
G1_H0,bare,B2n,-0.004563045038769306,0.010968056794687165,25000.000000000062
G1_H0,bare,Ckk,-0.3893359887932944,0.018861017111542505,25000.000000000062
G1_H0,bare,Crr,-0.6371104340593321,0.01846142996326447,25000.000000000062
G1_H0,bare,Cnn,-0.029327560987591653,0.018998797165816414,25000.000000000062
G1_H0,bare,Ckr,0.16343032486261644,0.01889030924005559,25000.000000000062
G1_H0,bare,Crk,0.11117637156205712,0.01906902038919349,25000.000000000062
G1_H0,bare,Ckn,0.01140024779356031,0.019001266069359063,25000.000000000062
G1_H0,bare,Cnk,-0.006300331746803365,0.01902525232962379,25000.000000000062
G1_H0,bare,Crn,0.0023171945112449494,0.018990779326975304,25000.000000000062
G1_H0,bare,Cnr,0.013134088904624076,0.018830078384928374,25000.000000000062
G0_H1,bare,B1k,-0.21863808000383195,0.010866441837903728,25000.000000000062
G0_H1,bare,B1r,0.7641075060709261,0.009841447613940244,25000.000000000062
G0_H1,bare,B1n,-0.01805371713851052,0.010945327171738958,25000.000000000062
G0_H1,bare,B2k,0.20389857668123834,0.010923840483723503,25000.000000000062
G0_H1,bare,B2r,-0.7571937356507017,0.009789900024307973,25000.000000000062
G0_H1,bare,B2n,-0.005157281738480029,0.010965547866372488,25000.000000000062
G0_H1,bare,Ckk,-0.39328710718979176,0.01886485106027252,25000.000000000062
G0_H1,bare,Crr,-0.6342781404294215,0.01845548030750867,25000.000000000062
G0_H1,bare,Cnn,-0.031225414489115817,0.019013153521629134,25000.000000000062
G0_H1,bare,Ckr,0.16574152122902405,0.018867502332923225,25000.000000000062
G0_H1,bare,Crk,0.10846262694967342,0.01910055449048742,25000.000000000062
G0_H1,bare,Ckn,0.012695423025249378,0.018993890161340402,25000.000000000062
G0_H1,bare,Cnk,-0.00955856528681392,0.019014857861367033,25000.000000000062
G0_H1,bare,Crn,0.006977306901660743,0.01897059482653781,25000.000000000062
G0_H1,bare,Cnr,0.01456606369435988,0.01884683138057339,25000.000000000062
G1_H1,bare,B1k,-0.2186556328085767,0.010868962675982231,25000.000000000062
G1_H1,bare,B1r,0.7651150711087303,0.009840082673505297,25000.000000000062
G1_H1,bare,B1n,-0.01707795514527273,0.010941283731052602,25000.000000000062
G1_H1,bare,B2k,0.2048937477163213,0.01092426191468847,25000.000000000062
G1_H1,bare,B2r,-0.7582741814142052,0.009789725092221447,25000.000000000062
G1_H1,bare,B2n,-0.004805562549846779,0.010961561320375342,25000.000000000062
G1_H1,bare,Ckk,-0.39426218220173764,0.018871377498060758,25000.000000000062
G1_H1,bare,Crr,-0.6374382196033926,0.01845849992359284,25000.000000000062
G1_H1,bare,Cnn,-0.03206268885707154,0.01898096828945933,25000.000000000062
G1_H1,bare,Ckr,0.16338857585990021,0.018868663667345194,25000.000000000062
G1_H1,bare,Crk,0.11078421757476462,0.01909515176662577,25000.000000000062
G1_H1,bare,Ckn,0.0138930130126588,0.018999279691458506,25000.000000000062
G1_H1,bare,Cnk,-0.009628813463568985,0.019018493421729614,25000.000000000062
G1_H1,bare,Crn,0.00749079994455879,0.018976561316300693,25000.000000000062
G1_H1,bare,Cnr,0.011089943499662277,0.01885418276682771,25000.000000000062
G0_H0,dressed_all,B1k,-0.21801209209701736,0.010870114296444917,25000.000000000062
G0_H0,dressed_all,B1r,0.7653592427174526,0.009834562919325182,25000.000000000062
G0_H0,dressed_all,B1n,-0.017655937932476117,0.010944895756651828,25000.000000000062
G0_H0,dressed_all,B2k,0.2043233809099358,0.010924413706511895,25000.000000000062
G0_H0,dressed_all,B2r,-0.7573754229679933,0.009785792787952817,25000.000000000062
G0_H0,dressed_all,B2n,-0.005039942191129624,0.010967826655199792,25000.000000000062
G0_H0,dressed_all,Ckk,-0.3902665373749001,0.018867145971479347,25000.000000000062
G0_H0,dressed_all,Crr,-0.6367415545672006,0.01844582046451208,25000.000000000062
G0_H0,dressed_all,Cnn,-0.03282675156858891,0.019005634786539497,25000.000000000062
G0_H0,dressed_all,Ckr,0.1612772305641783,0.018865851249316914,25000.000000000062
G0_H0,dressed_all,Crk,0.11176028312398369,0.01909243523394131,25000.000000000062
G0_H0,dressed_all,Ckn,0.011683623965681442,0.019013617933812302,25000.000000000062
G0_H0,dressed_all,Cnk,-0.006872322625706369,0.019027108663156492,25000.000000000062
G0_H0,dressed_all,Crn,0.007861982856454133,0.01897011542996739,25000.000000000062
G0_H0,dressed_all,Cnr,0.013752772319178368,0.018839621488453466,25000.000000000062
G1_H0,dressed_all,B1k,-0.218408604663327,0.010870941416956504,25000.000000000062
G1_H0,dressed_all,B1r,0.7645619420700389,0.009839808910968733,25000.000000000062
G1_H0,dressed_all,B1n,-0.018056321989593515,0.010941245322278905,25000.000000000062
G1_H0,dressed_all,B2k,0.20541608739853362,0.01091746710928328,25000.000000000062
G1_H0,dressed_all,B2r,-0.7585684362408422,0.00978877261886475,25000.000000000062
G1_H0,dressed_all,B2n,-0.0045371786623863404,0.010967978744780733,25000.000000000062
G1_H0,dressed_all,Ckk,-0.38935214442564214,0.018861481519176618,25000.000000000062
G1_H0,dressed_all,Crr,-0.6370168549064813,0.018461491395529,25000.000000000062
G1_H0,dressed_all,Cnn,-0.029346355271380565,0.018998343392653518,25000.000000000062
G1_H0,dressed_all,Ckr,0.16340630957506427,0.01889030097072651,25000.000000000062
G1_H0,dressed_all,Crk,0.11114630728923085,0.019068965747572487,25000.000000000062
G1_H0,dressed_all,Ckn,0.011280308691005747,0.0190008849138509,25000.000000000062
G1_H0,dressed_all,Cnk,-0.006343858238122457,0.019025512384587762,25000.000000000062
G1_H0,dressed_all,Crn,0.0023485050967682226,0.018991208266596733,25000.000000000062
G1_H0,dressed_all,Cnr,0.013089000243046068,0.018829894654817304,25000.000000000062
G0_H1,dressed_all,B1k,-0.2186295187495294,0.010866414272790169,25000.000000000062
G0_H1,dressed_all,B1r,0.764131258932678,0.009841396447240268,25000.000000000062
G0_H1,dressed_all,B1n,-0.01802943165177961,0.010945342653979107,25000.000000000062
G0_H1,dressed_all,B2k,0.20387957845261373,0.010923824795775394,25000.000000000062
G0_H1,dressed_all,B2r,-0.7571614651471322,0.009789899127513674,25000.000000000062
G0_H1,dressed_all,B2n,-0.005132231418814375,0.010965668030618327,25000.000000000062
G0_H1,dressed_all,Ckk,-0.3932806338749503,0.01886472670014615,25000.000000000062
G0_H1,dressed_all,Crr,-0.6343276162558777,0.018455477661495447,25000.000000000062
G0_H1,dressed_all,Cnn,-0.03120110319110425,0.019013621288977146,25000.000000000062
G0_H1,dressed_all,Ckr,0.16585952894555195,0.018867278358365415,25000.000000000062
G0_H1,dressed_all,Crk,0.10853860696208899,0.019100556488471032,25000.000000000062
G0_H1,dressed_all,Ckn,0.012686342827587026,0.018994023148543558,25000.000000000062
G0_H1,dressed_all,Cnk,-0.009465432613618222,0.019014814657813517,25000.000000000062
G0_H1,dressed_all,Crn,0.006904708737662912,0.01897061844172603,25000.000000000062
G0_H1,dressed_all,Cnr,0.014534540884448369,0.018846480081653978,25000.000000000062
G1_H1,dressed_all,B1k,-0.2186441345296985,0.010869099022443422,25000.000000000062
G1_H1,dressed_all,B1r,0.765128512134362,0.009839902172089653,25000.000000000062
G1_H1,dressed_all,B1n,-0.01709553871146195,0.010941281112616231,25000.000000000062
G1_H1,dressed_all,B2k,0.20490887232338134,0.010924295941848657,25000.000000000062
G1_H1,dressed_all,B2r,-0.7582419896190391,0.009789830518338009,25000.000000000062
G1_H1,dressed_all,B2n,-0.004819772755418971,0.010961510771207205,25000.000000000062
G1_H1,dressed_all,Ckk,-0.39425399152401674,0.01887157803708184,25000.000000000062
G1_H1,dressed_all,Crr,-0.6374136567512171,0.018458318716178892,25000.000000000062
G1_H1,dressed_all,Cnn,-0.032176798836469074,0.018980863221133383,25000.000000000062
G1_H1,dressed_all,Ckr,0.16345043079938532,0.018869107095168522,25000.000000000062
G1_H1,dressed_all,Crk,0.11078640147492201,0.019094879394081016,25000.000000000062
G1_H1,dressed_all,Ckn,0.01379305120345753,0.018999282912475962,25000.000000000062
G1_H1,dressed_all,Cnk,-0.0096487410714067,0.01901880834977347,25000.000000000062
G1_H1,dressed_all,Crn,0.007335066909696522,0.01897639931406061,25000.000000000062
G1_H1,dressed_all,Cnr,0.011152460503052242,0.018853953267370556,25000.000000000062
G0_H0,dressed_prompt,B1k,-0.2180124960361044,0.010870066604685872,25000.000000000062
G0_H0,dressed_prompt,B1r,0.7653755028343077,0.00983458043174611,25000.000000000062
G0_H0,dressed_prompt,B1n,-0.017642723862263694,0.010944882433045896,25000.000000000062
G0_H0,dressed_prompt,B2k,0.204318806889462,0.010924379874289136,25000.000000000062
G0_H0,dressed_prompt,B2r,-0.7573789782804917,0.009785777723359854,25000.000000000062
G0_H0,dressed_prompt,B2n,-0.005039347857110111,0.0109678673930718,25000.000000000062
G0_H0,dressed_prompt,Ckk,-0.39025074264348564,0.018867012474522805,25000.000000000062
G0_H0,dressed_prompt,Crr,-0.6367565190789457,0.01844588060579581,25000.000000000062
G0_H0,dressed_prompt,Cnn,-0.03280236305520877,0.019005669557059138,25000.000000000062
G0_H0,dressed_prompt,Ckr,0.16129436253823698,0.018865809636089283,25000.000000000062
G0_H0,dressed_prompt,Crk,0.11175033243451034,0.019092435171292024,25000.000000000062
G0_H0,dressed_prompt,Ckn,0.011696757093103697,0.019013554802420823,25000.000000000062
G0_H0,dressed_prompt,Cnk,-0.006856443121751653,0.01902706412038032,25000.000000000062
G0_H0,dressed_prompt,Crn,0.00787646503975673,0.018970356914217407,25000.000000000062
G0_H0,dressed_prompt,Cnr,0.013741079127882954,0.018839559549503768,25000.000000000062
G1_H0,dressed_prompt,B1k,-0.2184001075078794,0.010870906206705513,25000.000000000062
G1_H0,dressed_prompt,B1r,0.7645668573811744,0.009839766625199992,25000.000000000062
G1_H0,dressed_prompt,B1n,-0.018059286854767393,0.010941311184419997,25000.000000000062
G1_H0,dressed_prompt,B2k,0.20541635735477098,0.010917513090913036,25000.000000000062
G1_H0,dressed_prompt,B2r,-0.7585631942660586,0.009788785308798604,25000.000000000062
G1_H0,dressed_prompt,B2n,-0.004549017587424415,0.010967935753092925,25000.000000000062
G1_H0,dressed_prompt,Ckk,-0.38932962840035634,0.018861373209958867,25000.000000000062
G1_H0,dressed_prompt,Crr,-0.6370439328017753,0.01846139521365827,25000.000000000062
G1_H0,dressed_prompt,Cnn,-0.029351917527398432,0.018998324933628293,25000.000000000062
G1_H0,dressed_prompt,Ckr,0.16342923782654262,0.018890271849735026,25000.000000000062
G1_H0,dressed_prompt,Crk,0.11114560185682693,0.019069031717608712,25000.000000000062
G1_H0,dressed_prompt,Ckn,0.011259673036131599,0.019000815971162325,25000.000000000062
G1_H0,dressed_prompt,Cnk,-0.006326244823944012,0.019025810989394293,25000.000000000062
G1_H0,dressed_prompt,Crn,0.002378683813403123,0.018991073264936032,25000.000000000062
G1_H0,dressed_prompt,Cnr,0.013102922394402345,0.018829956524188358,25000.000000000062
G0_H1,dressed_prompt,B1k,-0.2186217232606539,0.010866362618222056,25000.000000000062
G0_H1,dressed_prompt,B1r,0.76413573383103,0.009841390897323676,25000.000000000062
G0_H1,dressed_prompt,B1n,-0.018025139327245178,0.010945392940549485,25000.000000000062
G0_H1,dressed_prompt,B2k,0.20387674101308015,0.010923827821038542,25000.000000000062
G0_H1,dressed_prompt,B2r,-0.7571584308422982,0.009789952838953214,25000.000000000062
G0_H1,dressed_prompt,B2n,-0.005129473030856152,0.010965627607116352,25000.000000000062
G0_H1,dressed_prompt,Ckk,-0.39329980848904555,0.01886452933236271,25000.000000000062
G0_H1,dressed_prompt,Crr,-0.6343284284062831,0.01845555264018491,25000.000000000062
G0_H1,dressed_prompt,Cnn,-0.031196495087531598,0.019013626536418252,25000.000000000062
G0_H1,dressed_prompt,Ckr,0.16584805177510448,0.018867325354584245,25000.000000000062
G0_H1,dressed_prompt,Crk,0.10853181557104247,0.019100577374173734,25000.000000000062
G0_H1,dressed_prompt,Ckn,0.012691078170020161,0.01899386222363685,25000.000000000062
G0_H1,dressed_prompt,Cnk,-0.009501987901150793,0.01901497913205337,25000.000000000062
G0_H1,dressed_prompt,Crn,0.006950567839367662,0.018970563247897587,25000.000000000062
G0_H1,dressed_prompt,Cnr,0.014507196301643748,0.018846570619321913,25000.000000000062
G1_H1,dressed_prompt,B1k,-0.2186491472679206,0.01086904841187924,25000.000000000062
G1_H1,dressed_prompt,B1r,0.7651285501849758,0.009839926986583772,25000.000000000062
G1_H1,dressed_prompt,B1n,-0.017092418242222716,0.01094130515402544,25000.000000000062
G1_H1,dressed_prompt,B2k,0.20490000763999275,0.010924277866321585,25000.000000000062
G1_H1,dressed_prompt,B2r,-0.7582532031580225,0.00978985083221586,25000.000000000062
G1_H1,dressed_prompt,B2n,-0.00482429793757293,0.010961486163259506,25000.000000000062
G1_H1,dressed_prompt,Ckk,-0.3942025052189684,0.01887148821450159,25000.000000000062
G1_H1,dressed_prompt,Crr,-0.6374406846966719,0.01845849478875536,25000.000000000062
G1_H1,dressed_prompt,Cnn,-0.03216985444107954,0.018980757497850817,25000.000000000062
G1_H1,dressed_prompt,Ckr,0.1634570386284282,0.01886902053459466,25000.000000000062
G1_H1,dressed_prompt,Crk,0.1107725302252574,0.01909478907522569,25000.000000000062
G1_H1,dressed_prompt,Ckn,0.013801802025743413,0.01899925849426911,25000.000000000062
G1_H1,dressed_prompt,Cnk,-0.009673806236704142,0.019018905743988856,25000.000000000062
G1_H1,dressed_prompt,Crn,0.007358354896872742,0.018976401848856597,25000.000000000062
G1_H1,dressed_prompt,Cnr,0.011156347501586335,0.01885408587020216,25000.000000000062
