contrast,representation,coefficient,effect,standard_error,z,effective_events
gamma_main_effect,hard,B1k,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,B1r,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,B1n,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,B2k,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,B2r,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,B2n,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Ckk,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Crr,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Cnn,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Ckr,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Crk,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Ckn,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Cnk,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Crn,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,hard,Cnr,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B1k,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B1r,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B1n,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B2k,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B2r,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,B2n,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Ckk,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Crr,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Cnn,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Ckr,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Crk,0.0,0.0,0.0,25000.000000000062
