comparison,representation,coefficient,delta,paired_standard_error,paired_z,effective_events
G1_H0-G0_H0,hard,B1k,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,B1r,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,B1n,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,B2k,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,B2r,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,B2n,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Ckk,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Crr,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Cnn,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Ckr,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Crk,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Ckn,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Cnk,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Crn,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,hard,Cnr,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B1k,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B1r,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B1n,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B2k,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B2r,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,B2n,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Ckk,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Crr,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Cnn,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Ckr,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Crk,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Ckn,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Cnk,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Crn,0.0,0.0,0.0,25000.000000000062
G0_H1-G0_H0,hard,Cnr,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B1k,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B1r,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B1n,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B2k,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B2r,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,B2n,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Ckk,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Crr,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Cnn,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Ckr,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Crk,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Ckn,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Cnk,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Crn,0.0,0.0,0.0,25000.000000000062
G1_H1-G0_H0,hard,Cnr,0.0,0.0,0.0,25000.000000000062
G1_H0-G0_H0,bare,B1k,-0.000416318107929651,0.0010296678003555082,-0.4043227415540342,25000.000000000062
G1_H0-G0_H0,bare,B1r,-0.0008155751919944977,0.0010725103397659225,-0.7604357382442566,25000.000000000062
G1_H0-G0_H0,bare,B1n,-0.0004940289026360518,0.0009857754504043893,-0.5011576444040974,25000.000000000062
G1_H0-G0_H0,bare,B2k,0.0010928923149656727,0.0010696532708617868,1.0217257729555325,25000.000000000062
G1_H0-G0_H0,bare,B2r,-0.0012215745579375703,0.0010376632964068208,-1.177235970634781,25000.000000000062
G1_H0-G0_H0,bare,B2n,0.00041158460584682165,0.0010035980663570046,0.4101090064280882,25000.000000000062
G1_H0-G0_H0,bare,Ckk,0.0009474947221254318,0.002545357051036965,0.37224432687721654,25000.000000000062
G1_H0-G0_H0,bare,Crr,-0.0003517832271426086,0.0026556162820922896,-0.132467642074196,25000.000000000062
G1_H0-G0_H0,bare,Cnn,0.003450203259094344,0.0023729648089278544,1.4539630954970648,25000.000000000062
G1_H0-G0_H0,bare,Ckr,0.0021344196813112186,0.0025103268425598,0.8502556898665571,25000.000000000062
G1_H0-G0_H0,bare,Crk,-0.0006244277000566041,0.002752027650685691,-0.22689732056326642,25000.000000000062
G1_H0-G0_H0,bare,Ckn,-0.0003455072767207263,0.0024246960230925167,-0.14249508945870165,25000.000000000062
G1_H0-G0_H0,bare,Cnk,0.000570097975876134,0.0026216410274776214,0.21745844297556122,25000.000000000062
G1_H0-G0_H0,bare,Crn,-0.005629970419461239,0.0024723057705579995,-2.277214447544065,25000.000000000062
G1_H0-G0_H0,bare,Cnr,-0.0005663367148558936,0.0023813536054057547,-0.23782134394921015,25000.000000000062
G0_H1-G0_H0,bare,B1k,-0.0006563166116236934,0.0009856686049829868,-0.6658593043399428,25000.000000000062
G0_H1-G0_H0,bare,B1r,-0.001258221683042465,0.0010238694612779247,-1.2288887701289946,25000.000000000062
G0_H1-G0_H0,bare,B1n,-0.0004370972968603982,0.0009710244345968296,-0.45014036854992373,25000.000000000062
G0_H1-G0_H0,bare,B2k,-0.0004213813806801201,0.0010718277556090712,-0.39314281466863876,25000.000000000062
G0_H1-G0_H0,bare,B2r,0.0001741400607000803,0.0010063205700320658,0.17304630938283558,25000.000000000062
G0_H1-G0_H0,bare,B2n,-0.00018265209386389878,0.0009835967103249102,-0.1856981544840299,25000.000000000062
G0_H1-G0_H0,bare,Ckk,-0.0030036236743712355,0.002539657018819561,-1.1826887064330156,25000.000000000062
G0_H1-G0_H0,bare,Crr,0.0024805104027662782,0.0025120989755269317,0.9874254266776938,25000.000000000062
G0_H1-G0_H0,bare,Cnn,0.00155234975757028,0.002404038117158072,0.6457259335826948,25000.000000000062
G0_H1-G0_H0,bare,Ckr,0.004445616047719578,0.0024974905368200747,1.7800331901877595,25000.000000000062
G0_H1-G0_H0,bare,Crk,-0.003338172312441114,0.00270436202032915,-1.2343659197058323,25000.000000000062
G0_H1-G0_H0,bare,Ckn,0.000949667954968332,0.002329800897585365,0.40761764490372543,25000.000000000062
G0_H1-G0_H0,bare,Cnk,-0.002688135564134493,0.00248530397963291,-1.081612384707782,25000.000000000062
G0_H1-G0_H0,bare,Crn,-0.0009698580290455222,0.002449087424736138,-0.3960079249314726,25000.000000000062
G0_H1-G0_H0,bare,Cnr,0.0008656380748800984,0.0022466515443463945,0.38530143985098214,25000.000000000062
G1_H1-G0_H0,bare,B1k,-0.0006738694163692604,0.0010262209434191638,-0.6566513972362148,25000.000000000062
G1_H1-G0_H0,bare,B1r,-0.00025065664523295667,0.0010394907181996834,-0.24113408695661503,25000.000000000062
G1_H1-G0_H0,bare,B1n,0.0005386646963774577,0.0009254651886025689,0.5820474967738429,25000.000000000062
G1_H1-G0_H0,bare,B2k,0.000573789654404088,0.0010596954181263509,0.541466580480839,25000.000000000062
