adaptive_id	schedule	total_calls	updates	purpose
A00	5:50000:"gw"	250000	5	Phase11 baseline; many small updates
A01	2:125000:"gw"	250000	2	Same 250k budget, two updates
A02	1:250000:"gw"	250000	1	Same 250k budget, one update
A03	5:100000:"gw"	500000	5	500k frequent updates
A04	2:250000:"gw"	500000	2	500k two updates
A05	1:500000:"gw"	500000	1	500k one update
A06	1:100000:"gw",1:200000:"gw",1:400000:"gw"	700000	3	Progressive 100k-200k-400k
A07	10:100000:"gw"	1000000	10	FCC-Winter2023 adaptive prefix / historical deep-stress control
A08	4:250000:"gw"	1000000	4	1M four updates
A09	2:500000:"gw"	1000000	2	1M two updates
A10	1:1000000:"gw"	1000000	1	1M one update
A11	1:100000:"gw",1:300000:"gw",1:600000:"gw"	1000000	3	Progressive 100k-300k-600k
A12	1:250000:"gw",1:500000:"gw",1:1000000:"gw"	1750000	3	Deep progressive; directly comparable to monolithic scan
A13	2:1000000:"gw"	2000000	2	2M two updates
A14	1:2000000:"gw"	2000000	1	2M one update
