campaign_id,sample_id,template_path,initial_state,decay_channel,polarization,sqrt_s_GeV,isr_enabled,spin_correlated
500GeV_ISR_iso_validation_v1,ee_ttbar_epmum_LR100_iso_ISR_500GeV,sindarin/production/ee_ttbar_epmum_LR100_iso_ISR_500GeV.sin.in,ee,epmum,LR100,500.0,True,False
500GeV_ISR_sc_v1,ee_ttbar_epmum_LR100_sc_ISR_500GeV,sindarin/production/ee_ttbar_epmum_LR100_sc_ISR_500GeV.sin.in,ee,epmum,LR100,500.0,True,True
500GeV_ISR_iso_validation_v1,ee_ttbar_epmum_RL100_iso_ISR_500GeV,sindarin/production/ee_ttbar_epmum_RL100_iso_ISR_500GeV.sin.in,ee,epmum,RL100,500.0,True,False
500GeV_ISR_sc_v1,ee_ttbar_epmum_RL100_sc_ISR_500GeV,sindarin/production/ee_ttbar_epmum_RL100_sc_ISR_500GeV.sin.in,ee,epmum,RL100,500.0,True,True
500GeV_ISR_iso_validation_v1,ee_ttbar_mupem_LR100_iso_ISR_500GeV,sindarin/production/ee_ttbar_mupem_LR100_iso_ISR_500GeV.sin.in,ee,mupem,LR100,500.0,True,False
500GeV_ISR_sc_v1,ee_ttbar_mupem_LR100_sc_ISR_500GeV,sindarin/production/ee_ttbar_mupem_LR100_sc_ISR_500GeV.sin.in,ee,mupem,LR100,500.0,True,True
500GeV_ISR_iso_validation_v1,ee_ttbar_mupem_RL100_iso_ISR_500GeV,sindarin/production/ee_ttbar_mupem_RL100_iso_ISR_500GeV.sin.in,ee,mupem,RL100,500.0,True,False
500GeV_ISR_sc_v1,ee_ttbar_mupem_RL100_sc_ISR_500GeV,sindarin/production/ee_ttbar_mupem_RL100_sc_ISR_500GeV.sin.in,ee,mupem,RL100,500.0,True,True
500GeV_ISR_iso_validation_v1,mumu_ttbar_epmum_LR100_iso_ISR_500GeV,sindarin/production/mumu_ttbar_epmum_LR100_iso_ISR_500GeV.sin.in,mumu,epmum,LR100,500.0,True,False
500GeV_ISR_sc_v1,mumu_ttbar_epmum_LR100_sc_ISR_500GeV,sindarin/production/mumu_ttbar_epmum_LR100_sc_ISR_500GeV.sin.in,mumu,epmum,LR100,500.0,True,True
500GeV_ISR_iso_validation_v1,mumu_ttbar_epmum_RL100_iso_ISR_500GeV,sindarin/production/mumu_ttbar_epmum_RL100_iso_ISR_500GeV.sin.in,mumu,epmum,RL100,500.0,True,False
500GeV_ISR_sc_v1,mumu_ttbar_epmum_RL100_sc_ISR_500GeV,sindarin/production/mumu_ttbar_epmum_RL100_sc_ISR_500GeV.sin.in,mumu,epmum,RL100,500.0,True,True
500GeV_ISR_iso_validation_v1,mumu_ttbar_mupem_LR100_iso_ISR_500GeV,sindarin/production/mumu_ttbar_mupem_LR100_iso_ISR_500GeV.sin.in,mumu,mupem,LR100,500.0,True,False
500GeV_ISR_sc_v1,mumu_ttbar_mupem_LR100_sc_ISR_500GeV,sindarin/production/mumu_ttbar_mupem_LR100_sc_ISR_500GeV.sin.in,mumu,mupem,LR100,500.0,True,True
500GeV_ISR_iso_validation_v1,mumu_ttbar_mupem_RL100_iso_ISR_500GeV,sindarin/production/mumu_ttbar_mupem_RL100_iso_ISR_500GeV.sin.in,mumu,mupem,RL100,500.0,True,False
500GeV_ISR_sc_v1,mumu_ttbar_mupem_RL100_sc_ISR_500GeV,sindarin/production/mumu_ttbar_mupem_RL100_sc_ISR_500GeV.sin.in,mumu,mupem,RL100,500.0,True,True
